date,ldj,lftse
2011m11,9.3964615,8.6134844
2011m12,9.4106293,8.6255627
2012m1,9.4440603,8.6449881
2012m2,9.4690113,8.677865
2012m3,9.488884,8.6601677
2012m4,9.4890041,8.6548309
2012m5,9.4249229,8.5793982
2012m6,9.463438,8.6253662
2012m7,9.4733725,8.6368055
2012m8,9.4796677,8.6502371
2012m9,9.5057774,8.6555805
2012m10,9.4800968,8.6626263
2012m11,9.4746704,8.6770649
2012m12,9.4806833,8.6823349
2013m1,9.5368042,8.7446318
2013m2,9.5506973,8.7579098
2013m3,9.587306,8.7658796
2013m4,9.6050682,8.7687454
2013m5,9.6234808,8.7922611
2013m6,9.6097603,8.7348013
2013m7,9.6485653,8.7980165
2013m8,9.6030788,8.7660666
2013m9,9.6244125,8.7737255
2013m10,9.6515427,8.814538
2013m11,9.68573,8.8024626
2013m12,9.7157507,8.8171644
2014m1,9.6613426,8.7811565
2014m2,9.7002516,8.8261032
2014m3,9.7085466,8.7945824
2014m4,9.7160034,8.8217325
2014m5,9.7241917,8.8312006
